,ProductID,smiles,standardized_smiles,mol,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,RingCount,HeavyAtomCount,FractionCSP3,FormalCharge
75,269,C1=CC(=C(C=C1[C@H](CN)O)O)O.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O.O,NCC(O)c1ccc(O)c(O)c1,<rdkit.Chem.rdchem.Mol object at 0x1254ce030>,337.2810000000001,-2.8573999999999993,8,8,233.26999999999998,5,1,23,0.3333333333333333,0
76,270,CN1C=CNC1=S,Cn1cc[nH]c1=S,<rdkit.Chem.rdchem.Mol object at 0x1254ce0a0>,114.173,1.08269,1,2,20.72,0,1,7,0.25,0
77,271,CN1C=CNC1=S,Cn1cc[nH]c1=S,<rdkit.Chem.rdchem.Mol object at 0x1254ce110>,114.173,1.08269,1,2,20.72,0,1,7,0.25,0
78,272,COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,<rdkit.Chem.rdchem.Mol object at 0x1254ce180>,520.5790000000003,-0.31989999999999963,7,10,184.04,9,5,37,0.5384615384615384,0
79,276,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2.C(=C\C(=O)O)\C(=O)O,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x1254ce260>,390.86700000000013,3.5304,2,4,90.73,7,2,27,0.25,0
80,277,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2.C(=C\C(=O)O)\C(=O)O,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x1254ce2d0>,390.86700000000013,3.5304,2,4,90.73,7,2,27,0.25,0
81,278,C1=CC=C(C=C1)CC(=O)NC(=O)N,NC(=O)NC(=O)Cc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x1254ce340>,178.19099999999997,0.4240000000000001,2,2,72.19,2,1,13,0.1111111111111111,0
82,279,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(CC(=O)[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,<rdkit.Chem.rdchem.Mol object at 0x1254ce3b0>,402.48700000000025,2.5606000000000004,1,6,97.74000000000001,3,4,29,0.7391304347826086,0
83,287,CCN(CC)C(=S)SSC(=S)N(CC)CC,CCN(CC)C(=S)SSC(=S)N(CC)CC,<rdkit.Chem.rdchem.Mol object at 0x1254ce420>,296.5520000000001,3.6212000000000026,0,4,6.48,4,0,16,0.8,0
84,288,CCN(CC)C(=S)SSC(=S)N(CC)CC,CCN(CC)C(=S)SSC(=S)N(CC)CC,<rdkit.Chem.rdchem.Mol object at 0x1254ce490>,296.5520000000001,3.6212000000000026,0,4,6.48,4,0,16,0.8,0
85,289,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,<rdkit.Chem.rdchem.Mol object at 0x1254ce5e0>,285.365,2.1955,1,3,74.68,7,1,19,0.46153846153846156,0
86,290,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C.Cl,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,<rdkit.Chem.rdchem.Mol object at 0x1254ce650>,320.88899999999995,4.6612000000000045,0,3,6.48,3,3,21,0.29411764705882354,0
87,291,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C.Cl,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,<rdkit.Chem.rdchem.Mol object at 0x1254ce6c0>,320.88899999999995,4.6612000000000045,0,3,6.48,3,3,21,0.29411764705882354,0
88,292,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C.Cl,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,<rdkit.Chem.rdchem.Mol object at 0x1254ce810>,320.88899999999995,4.6612000000000045,0,3,6.48,3,3,21,0.29411764705882354,0
89,293,S=[Se],S=[Se],<rdkit.Chem.rdchem.Mol object at 0x1254ce880>,111.02699999999999,0.26739999999999997,0,1,0.0,0,0,2,0.0,0
90,297,CC[N+](C)(C)C1=CC(=CC=C1)O.[Cl-],CC[N+](C)(C)c1cccc(O)c1,<rdkit.Chem.rdchem.Mol object at 0x1254ce8f0>,201.697,-1.0169999999999997,1,1,20.23,2,1,13,0.4,0
91,298,CC[N+](C)(C)C1=CC(=CC=C1)O.[Cl-],CC[N+](C)(C)c1cccc(O)c1,<rdkit.Chem.rdchem.Mol object at 0x1254ce960>,201.697,-1.0169999999999997,1,1,20.23,2,1,13,0.4,0
92,299,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2.Cl,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x1254ce9d0>,345.9550000000001,4.824000000000006,0,3,29.54,7,2,23,0.9473684210526315,0
93,303,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,CCN(CC)CC(=O)Nc1c(C)cccc1C,<rdkit.Chem.rdchem.Mol object at 0x1254cec70>,234.343,2.5837400000000006,1,2,32.34,5,1,17,0.5,0
